|"|||""equipo_local|equipo_visitante|Division|Temporada|fecha_dt|goles_local|goles_visitante|arbitro|estadio|odd_1|odd_x|odd_2|Informe_Tarjetas"""
84|"Valencia|Getafe|1|2019|2019-09-25 20:00:00|3|3|José Munuera|Estadio de Mestalla|1.9|3.3|4.5|Hubo 01 amarillas para jugadores del equipo local|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 0 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local"
85|"Real Madrid|Osasuna|1|2019|2019-09-25 21:00:00|2|0|Antonio Mateu|Estadio Santiago Bernabéu|1.2|7.0|13.0|Hubo 2 amarillas mostradas al equipo local|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 02 tarjetas amarillas para el equipo visitantes"
86|"Eibar|Sevilla|1|2019|2019-09-26 19:00:00|3|2|Pablo González|Estadio Municipal de Ipurúa|3.5|3.3|2.15|Hubo 4 tarjetas amarillas para el equipo visitantes|Hubo 3 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 00 rojas a jugadores visitantes"
87|"Celta Vigo|Espanyol|1|2019|2019-09-26 20:00:00|1|1|José Sánchez|Abanca-Balaídos|1.85|3.5|4.2|Hubo 5  tarjetas amarillas de jugadores visitantes|Hubo 02 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local"
88|"Real Sociedad|Alaves|1|2019|2019-09-26 21:00:00|3|0|David Medié|Reale Arena|1.6|4.0|5.5|Hubo 00 rojas a jugadores del equipo local|Hubo 01 rojas a jugadores visitantes|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 1 amarillas para jugadores del equipo local"
89|"Athletic Club|Valencia|1|2019|2019-09-28 13:00:00|0|1|Mario Melero|San Mamés Barria|2.2|3.2|3.5|Hubo 0 rojas a jugadores del equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 05  tarjetas amarillas de jugadores visitantes"
90|"Getafe|Barcelona|1|2019|2019-09-28 16:00:00|0|2|Jesús Gil|Coliseum Alfonso Pérez|4.33|3.4|1.85|Hubo 4 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 01 rojas a jugadores visitantes"
91|"Fuenlabrada|Rayo Vallecano|2|2019|2019-09-28 16:00:00|2|2|Javier Iglesias|Estadio Fernando Torres|3.2|3.0|2.4|Hubo 01 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 6 tarjetas amarillas para el equipo visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
92|"Huesca|Girona|2|2019|2019-09-28 18:00:00|1|0|Oliver De La Fuente|Estadio El Alcoraz|2.25|3.0|3.5|Hubo 5  tarjetas amarillas de jugadores visitantes|Hubo 02 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 00 rojas a jugadores visitantes"
93|"Granada CF|Leganes|1|2019|2019-09-28 18:30:00|1|0|Adrián Cordero|Estadio Nuevo Los Cármenes|2.4|3.1|3.2|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante"
94|"Atletico Madrid|Real Madrid|1|2019|2019-09-28 21:00:00|0|0|José González|Estadio Wanda Metropolitano|2.4|3.3|3.0|Hubo 1 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores visitantes"
95|"Espanyol|Valladolid|1|2019|2019-09-29 12:00:00|0|2|Guillermo Cuadra|RCDE Stadium|1.95|3.3|4.2|Hubo 01 rojas a jugadores del equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 0 tarjetas amarillas para el equipo visitantes|Hubo 02 amarillas para jugadores del equipo local"
96|"Malaga|Sporting Gijon|2|2019|2019-09-29 12:00:00|0|0|Dámaso Arcediano|Estadio La Rosaleda|2.3|2.87|3.5|Hubo 00 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 2 amarillas mostradas al equipo local"
97|"Eibar|Celta Vigo|1|2019|2019-09-29 14:00:00|2|0|Juan Martínez|Estadio Municipal de Ipurúa|2.25|3.3|3.25|Hubo 3 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 1  tarjetas amarillas de jugadores visitantes"
98|"Alaves|Mallorca|1|2019|2019-09-29 16:00:00|2|0|Carlos Del Cerro|Estadio de Mendizorroza|2.2|3.2|3.5|Hubo 02 amarillas mostradas al equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 3  tarjetas amarillas de jugadores visitantes"
99|"Almeria|Cadiz|2|2019|2019-09-29 16:00:00|1|2|Daniel Trujillo|Estadio de los Juegos Mediterráneos|2.25|3.0|3.5|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 01 rojas a jugadores visitantes|Hubo 02 amarillas para jugadores del equipo local"
100|"Levante|Osasuna|1|2019|2019-09-29 18:30:00|1|1|César Soto|Estadio Ciudad de Valencia|2.15|3.5|3.4|Hubo 1 tarjetas rojas sobre el equipo local|Hubo 00  tarjetas amarillas de jugadores visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 06 amarillas para jugadores del equipo local"
101|"Oviedo|Zaragoza|2|2019|2019-09-29 18:30:00|2|2|Isidro Díaz de Mera|Estadio Nuevo Carlos Tartiere|2.8|3.0|2.7|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 04 amarillas mostradas al equipo local|Hubo 3  tarjetas amarillas de jugadores visitantes"
102|"Sevilla|Real Sociedad|1|2019|2019-09-29 21:00:00|3|2|Javier Alberola|Estadio Ramón Sánchez Pizjuán|1.85|3.5|4.5|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 01 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
103|"Deportivo La Coruna|Mirandes|2|2019|2019-09-29 21:00:00|1|1|Miguel Ortiz|Estadio Abanca-Riazor|1.57|3.6|6.5|Hubo 1  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes"
104|"Leganes|Levante|1|2019|2019-10-05 13:00:00|1|2|José Munuera|Estadio Municipal de Butarque|2.0|3.5|3.8|Hubo 3 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local"
105|"Real Madrid|Granada CF|1|2019|2019-10-05 16:00:00|4|2|Santiago Jaime|Estadio Santiago Bernabéu|1.28|5.75|10.0|Hubo 4 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 05 tarjetas amarillas para el equipo visitantes|Hubo 00 tajetas rojas al equipo visitante"
106|"Valencia|Alaves|1|2019|2019-10-05 18:30:00|2|1|Eduardo Prieto|Estadio de Mestalla|1.5|4.33|6.5|Hubo 01 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 0 tajetas rojas al equipo visitante"
107|"Osasuna|Villarreal|1|2019|2019-10-05 21:00:00|2|1|Valentín Pizarro|Estadio El Sadar|3.0|3.3|2.4|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 0 tajetas rojas al equipo visitante"
108|"Mallorca|Espanyol|1|2019|2019-10-06 12:00:00|2|0|Ricardo De Burgos|Iberostar Estadi|2.45|3.25|3.0|Hubo 00 rojas a jugadores visitantes|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 01 amarillas para jugadores del equipo local"
109|"Fuenlabrada|Sporting Gijon|2|2019|2019-10-06 12:00:00|2|0|Isidro Díaz de Mera|Estadio Fernando Torres|2.8|2.87|2.8|Hubo 0 rojas a jugadores visitantes|Hubo 3 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 07  tarjetas amarillas de jugadores visitantes"
110|"Celta Vigo|Athletic Club|1|2019|2019-10-06 14:00:00|1|0|David Medié|Abanca-Balaídos|2.7|3.0|2.87|Hubo 0 rojas a jugadores visitantes|Hubo 00 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 05  tarjetas amarillas de jugadores visitantes"
111|"Oviedo|Numancia|2|2019|2019-10-06 16:00:00|1|1|Daniel Trujillo|Estadio Nuevo Carlos Tartiere|1.72|3.4|5.25|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local"
112|"Zaragoza|Cadiz|2|2019|2019-10-06 16:00:00|0|2|Oliver De La Fuente|Estadio de la Romareda|2.1|3.0|3.8|Hubo 00 tajetas rojas al equipo visitante|Hubo 3  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 02 amarillas para jugadores del equipo local"
113|"Valladolid|Atletico Madrid|1|2019|2019-10-06 16:00:00|0|0|José Sánchez|Estadio Municipal José Zorrilla|5.5|3.5|1.72|Hubo 4 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 6 amarillas mostradas al equipo local"
114|"Real Sociedad|Getafe|1|2019|2019-10-06 18:30:00|1|2|Pablo González|Reale Arena|1.9|3.4|4.33|Hubo 4  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 1 rojas a jugadores del equipo local"
115|"Deportivo La Coruna|Almeria|2|2019|2019-10-06 18:30:00|0|0|Gorka Sagues|Estadio Abanca-Riazor|2.1|3.0|4.0|Hubo 1 tarjetas rojas sobre el equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 02  tarjetas amarillas de jugadores visitantes"
116|"Huesca|Malaga|2|2019|2019-10-06 20:00:00|2|0|Miguel Ortiz|Estadio El Alcoraz|2.1|3.1|3.75|Hubo 00 rojas a jugadores del equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 2 amarillas para jugadores del equipo local|Hubo 01 tajetas rojas al equipo visitante"
117|"Racing Santander|Girona|2|2019|2019-10-06 20:30:00|0|3|Dámaso Arcediano|Campos de Sport de El Sardinero|2.45|3.0|3.2|Hubo 02 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores del equipo local"
118|"Barcelona|Sevilla|1|2019|2019-10-06 21:00:00|4|0|Antonio Mateu|Camp Nou|1.5|4.2|7.0|Hubo 5 amarillas mostradas al equipo local|Hubo 02 tarjetas rojas sobre el equipo local|Hubo 03 tarjetas amarillas para el equipo visitantes|Hubo 0 tajetas rojas al equipo visitante"
119|"Almeria|Lugo|2|2019|2019-10-12 16:00:00|0|0|Iosu Galech|Estadio de los Juegos Mediterráneos|1.5|4.0|7.0|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 04 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores visitantes"
120|"Sporting Gijon|Alcorcon|2|2019|2019-10-12 16:00:00|1|3|Javier Iglesias|Estadio Municipal El Molinón|1.8|3.25|5.0|Hubo 0 rojas a jugadores visitantes|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 5 amarillas mostradas al equipo local"
121|"Extremadura|Ponferradina|2|2019|2019-10-12 18:00:00|1|1|Jorge Figueroa|Estadio Francisco de la Hera|1.9|3.1|4.75|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 5 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local"
122|"Malaga|Cadiz|2|2019|2019-10-12 18:00:00|1|2|Rubén Ávalos|Estadio La Rosaleda|4.6|3.3|1.83|Hubo 0 rojas a jugadores visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores del equipo local"
123|"Mirandes|Fuenlabrada|2|2019|2019-10-13 12:00:00|2|1|Alejandro Muñiz|Estadio Municipal de Anduva|2.9|3.0|2.62|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 0 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 02 amarillas mostradas al equipo local"
124|"Numancia|Zaragoza|2|2019|2019-10-13 16:00:00|0|1|José López|Nuevo Estadio Los Pajaritos|3.2|3.1|2.3|Hubo 00 tajetas rojas al equipo visitante|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 0 amarillas para jugadores del equipo local|Hubo 00 tarjetas rojas sobre el equipo local"
125|"Huesca|Racing Santander|2|2019|2019-10-13 18:00:00|1|1|Álvaro Moreno|Estadio El Alcoraz|1.6|4.0|5.25|Hubo 00 rojas a jugadores visitantes|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 00 amarillas mostradas al equipo local|Hubo 00 tarjetas rojas sobre el equipo local"
126|"Albacete|Oviedo|2|2019|2019-10-13 18:00:00|1|2|Juan Pulido|Estadio Carlos Belmonte|2.2|3.1|3.4|Hubo 02 amarillas para jugadores del equipo local|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local"
127|"Las Palmas|Deportivo La Coruna|2|2019|2019-10-13 21:00:00|3|0|Luis Milla|Estadio de Gran Canaria|2.45|3.0|3.1|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 4 amarillas para jugadores del equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores visitantes"
128|"Eibar|Barcelona|1|2019|2019-10-19 13:00:00|0|3|Mario Melero|Estadio Municipal de Ipurúa|6.0|4.5|1.5|Hubo 0 rojas a jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 0 tarjetas amarillas para el equipo visitantes|Hubo 5 amarillas mostradas al equipo local"
129|"Alcorcon|Almeria|2|2019|2019-10-19 16:00:00|2|2|Isidro Díaz de Mera|Estadio Santo Domingo|2.45|3.0|3.1|Hubo 07 amarillas mostradas al equipo local|Hubo 1 rojas a jugadores del equipo local|Hubo 1 rojas a jugadores visitantes|Hubo 04 tarjetas amarillas para el equipo visitantes"
130|"Atletico Madrid|Valencia|1|2019|2019-10-19 16:00:00|1|1|Adrián Cordero|Estadio Wanda Metropolitano|1.57|3.75|6.0|Hubo 02 amarillas para jugadores del equipo local|Hubo 1 tajetas rojas al equipo visitante|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores del equipo local"
131|"Lugo|Huesca|2|2019|2019-10-19 18:00:00|3|2|Aitor Gorostegui|Estadio Anxo Carro|2.9|3.1|2.5|Hubo 5  tarjetas amarillas de jugadores visitantes|Hubo 1 rojas a jugadores del equipo local|Hubo 1 rojas a jugadores visitantes|Hubo 04 amarillas mostradas al equipo local"
132|"Elche|Sporting Gijon|2|2019|2019-10-19 18:00:00|0|1|Miguel Ortiz|Estadio Manuel Martínez Valero|2.37|3.1|3.1|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas para jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 0 rojas a jugadores del equipo local"
133|"Getafe|Leganes|1|2019|2019-10-19 18:30:00|2|0|Juan Martínez|Coliseum Alfonso Pérez|1.85|3.1|5.25|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 01 amarillas para jugadores del equipo local"
134|"Mallorca|Real Madrid|1|2019|2019-10-19 21:00:00|1|0|Javier Alberola|Iberostar Estadi|6.5|4.0|1.53|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 2 amarillas para jugadores del equipo local|Hubo 1 tajetas rojas al equipo visitante|Hubo 02 tarjetas amarillas para el equipo visitantes"
135|"Alaves|Celta Vigo|1|2019|2019-10-20 12:00:00|2|0|José González|Estadio de Mendizorroza|2.9|3.0|2.62|Hubo 05 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes"
136|"Fuenlabrada|Albacete|2|2019|2019-10-20 12:00:00|0|1|Jon González|Estadio Fernando Torres|1.85|3.2|4.75|Hubo 02 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 04 tarjetas amarillas para el equipo visitantes"
137|"Real Sociedad|Real Betis|1|2019|2019-10-20 14:00:00|3|1|César Soto|Reale Arena|1.75|3.9|4.33|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 04 amarillas mostradas al equipo local"
138|"Espanyol|Villarreal|1|2019|2019-10-20 16:00:00|0|1|Carlos Del Cerro|RCDE Stadium|3.0|3.3|2.37|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 1  tarjetas amarillas de jugadores visitantes|Hubo 2 amarillas mostradas al equipo local|Hubo 00 tajetas rojas al equipo visitante"
139|"Deportivo La Coruna|Malaga|2|2019|2019-10-20 16:00:00|0|2|Oliver De La Fuente|Estadio Abanca-Riazor|2.0|3.25|4.0|Hubo 0 tajetas rojas al equipo visitante|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 1 amarillas mostradas al equipo local|Hubo 00 tarjetas rojas sobre el equipo local"
140|"Tenerife|Racing Santander|2|2019|2019-10-20 18:00:00|3|3|Santiago Varón|Estadio Heliodoro Rodríguez Lopéz|1.75|3.3|5.25|Hubo 01 amarillas mostradas al equipo local|Hubo 5 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante"
141|"Athletic Club|Valladolid|1|2019|2019-10-20 18:30:00|1|1|Jesús Gil|San Mamés Barria|1.66|3.4|6.5|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 03 tarjetas amarillas para el equipo visitantes"
142|"Sevilla|Levante|1|2019|2019-10-20 21:00:00|1|0|Guillermo Cuadra|Estadio Ramón Sánchez Pizjuán|1.33|5.5|9.0|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 02 amarillas para jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
143|"Leganes|Mallorca|1|2019|2019-10-26 16:00:00|1|0|Eduardo Prieto|Estadio Municipal de Butarque|1.8|3.4|4.75|Hubo 4 amarillas para jugadores del equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 1 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores visitantes"
144|"Mirandes|Tenerife|2|2019|2019-10-26 18:00:00|0|0|Daniel Ocón|Estadio Municipal de Anduva|2.5|3.1|2.9|Hubo 1  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas para jugadores del equipo local|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante"
145|"Racing Santander|Deportivo La Coruna|2|2019|2019-10-26 18:00:00|1|1|Rubén Ávalos|Campos de Sport de El Sardinero|2.6|3.1|2.8|Hubo 00 rojas a jugadores visitantes|Hubo 02 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 03 tarjetas amarillas para el equipo visitantes"
146|"Valladolid|Eibar|1|2019|2019-10-26 18:30:00|2|0|José Munuera|Estadio Municipal José Zorrilla|2.4|3.1|3.2|Hubo 1 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes"
147|"Malaga|Oviedo|2|2019|2019-10-26 20:00:00|2|1|Iosu Galech|Estadio La Rosaleda|2.3|3.0|3.4|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 01 tajetas rojas al equipo visitante|Hubo 7 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores del equipo local"
148|"Atletico Madrid|Athletic Club|1|2019|2019-10-26 21:00:00|2|0|Alejandro Hernández|Estadio Wanda Metropolitano|1.7|3.5|5.75|Hubo 2  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 2 amarillas para jugadores del equipo local"
149|"Girona|Alcorcon|2|2019|2019-10-27 11:00:00|0|0|Luis Milla|Estadi Municipal de Montilivi|1.61|3.4|6.5|Hubo 05 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 04 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
150|"Celta Vigo|Real Sociedad|1|2019|2019-10-27 11:00:00|0|1|Valentín Pizarro|Abanca-Balaídos|3.0|3.25|2.45|Hubo 00 tajetas rojas al equipo visitante|Hubo 05 amarillas para jugadores del equipo local|Hubo 1 tarjetas rojas sobre el equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes"
151|"Granada CF|Real Betis|1|2019|2019-10-27 13:00:00|1|0|Antonio Mateu|Estadio Nuevo Los Cármenes|2.45|3.2|3.0|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 03 amarillas para jugadores del equipo local"
152|"Levante|Espanyol|1|2019|2019-10-27 15:00:00|0|1|Pablo González|Estadio Ciudad de Valencia|2.1|3.5|3.5|Hubo 02 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 00 tajetas rojas al equipo visitante"
153|"Las Palmas|Fuenlabrada|2|2019|2019-10-27 17:00:00|1|3|Víctor Areces|Estadio de Gran Canaria|1.95|3.3|4.0|Hubo 6 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 04 amarillas para jugadores del equipo local|Hubo 01 rojas a jugadores visitantes"
154|"Huesca|Elche|2|2019|2019-10-27 17:00:00|2|0|Juan Pulido|Estadio El Alcoraz|1.57|3.4|7.5|Hubo 03 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 04 tarjetas amarillas para el equipo visitantes"
155|"Sevilla|Getafe|1|2019|2019-10-27 17:30:00|2|0|José Sánchez|Estadio Ramón Sánchez Pizjuán|1.72|3.3|6.0|Hubo 0 rojas a jugadores del equipo local|Hubo 02 amarillas para jugadores del equipo local|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 0 tajetas rojas al equipo visitante"
156|"Osasuna|Valencia|1|2019|2019-10-27 20:00:00|3|1|Santiago Jaime|Estadio El Sadar|2.87|3.1|2.62|Hubo 01 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 01 amarillas para jugadores del equipo local|Hubo 1  tarjetas amarillas de jugadores visitantes"
157|"Alaves|Atletico Madrid|1|2019|2019-10-29 19:00:00|1|1|Javier Estrada|Estadio de Mendizorroza|6.0|3.5|1.65|Hubo 03 amarillas mostradas al equipo local|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 00 rojas a jugadores visitantes"
158|"Barcelona|Valladolid|1|2019|2019-10-29 21:15:00|5|1|Javier Alberola|Camp Nou|1.12|9.5|17.0|Hubo 00 amarillas para jugadores del equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 03 tarjetas amarillas para el equipo visitantes"
159|"Valencia|Sevilla|1|2019|2019-10-30 19:00:00|1|1|Carlos Del Cerro|Estadio de Mestalla|2.8|3.4|2.5|Hubo 0 rojas a jugadores del equipo local|Hubo 06 amarillas mostradas al equipo local|Hubo 03 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores visitantes"
160|"Real Sociedad|Levante|1|2019|2019-10-30 19:00:00|1|2|Mario Melero|Reale Arena|1.5|4.5|6.5|Hubo 4 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 03 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante"
161|"Athletic Club|Espanyol|1|2019|2019-10-30 20:00:00|3|0|Juan Martínez|San Mamés Barria|1.9|3.25|4.5|Hubo 0 rojas a jugadores visitantes|Hubo 0 amarillas mostradas al equipo local|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local"
162|"Real Betis|Celta Vigo|1|2019|2019-10-30 21:00:00|2|1|Jesús Gil|Estadio Benito Villamarín|2.0|3.5|3.75|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 06 amarillas mostradas al equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes"
163|"Real Madrid|Leganes|1|2019|2019-10-30 21:15:00|5|0|César Soto|Estadio Santiago Bernabéu|1.25|6.0|12.0|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 1 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 5 tarjetas amarillas para el equipo visitantes"
164|"Mallorca|Osasuna|1|2019|2019-10-31 19:00:00|2|2|Adrián Cordero|Iberostar Estadi|2.45|3.0|3.1|Hubo 0 tajetas rojas al equipo visitante|Hubo 01 amarillas para jugadores del equipo local|Hubo 5 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local"
165|"Eibar|Villarreal|1|2019|2019-10-31 19:00:00|2|1|Guillermo Cuadra|Estadio Municipal de Ipurúa|2.62|3.5|2.5|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 03 tarjetas amarillas para el equipo visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 0 amarillas para jugadores del equipo local"
166|"Getafe|Granada CF|1|2019|2019-10-31 21:15:00|3|1|José González|Coliseum Alfonso Pérez|1.9|3.3|4.33|Hubo 05 tarjetas amarillas para el equipo visitantes|Hubo 05 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
167|"Espanyol|Valencia|1|2019|2019-11-02 13:00:00|1|2|Valentín Pizarro|RCDE Stadium|2.7|3.3|2.62|Hubo 0 amarillas para jugadores del equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
168|"Levante|Barcelona|1|2019|2019-11-02 16:00:00|3|1|Alejandro Hernández|Estadio Ciudad de Valencia|9.0|5.75|1.3|Hubo 00 rojas a jugadores del equipo local|Hubo 6 tarjetas amarillas para el equipo visitantes|Hubo 1 amarillas para jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
